,ListPrice,ListPrice,ListPrice,ListPrice,ListPrice,ListPrice,ListPrice,ListPrice,BedroomsTotal,BedroomsTotal,BedroomsTotal,BedroomsTotal,BedroomsTotal,BedroomsTotal,BedroomsTotal,BedroomsTotal,BathroomsTotalInteger,BathroomsTotalInteger,BathroomsTotalInteger,BathroomsTotalInteger,BathroomsTotalInteger,BathroomsTotalInteger,BathroomsTotalInteger,BathroomsTotalInteger,BuildingAreaTotal,BuildingAreaTotal,BuildingAreaTotal,BuildingAreaTotal,BuildingAreaTotal,BuildingAreaTotal,BuildingAreaTotal,BuildingAreaTotal
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,2.0,150000.0,70710.67811865476,100000.0,125000.0,150000.0,175000.0,200000.0,2.0,2.0,1.4142135623730951,1.0,1.5,2.0,2.5,3.0,2.0,1.5,0.7071067811865476,1.0,1.25,1.5,1.75,2.0,2.0,1261.5,965.2007563196373,579.0,920.25,1261.5,1602.75,1944.0
1.0,155.0,200838.70967741936,157525.32197478384,40000.0,100000.0,200000.0,200000.0,1000000.0,155.0,2.1548387096774193,0.7741097566721064,1.0,2.0,2.0,3.0,4.0,155.0,2.206451612903226,0.8805014376674206,1.0,2.0,2.0,3.0,7.0,155.0,1260.425806451613,547.0617613745947,0.0,841.0,1225.0,1525.0,3880.0
2.0,2.0,80000.0,28284.2712474619,60000.0,70000.0,80000.0,90000.0,100000.0,2.0,2.5,0.7071067811865476,2.0,2.25,2.5,2.75,3.0,2.0,1.5,0.7071067811865476,1.0,1.25,1.5,1.75,2.0,2.0,1106.5,362.74577874869885,850.0,978.25,1106.5,1234.75,1363.0
3.0,86.0,221395.3488372093,156710.01913010934,40000.0,100000.0,200000.0,300000.0,900000.0,86.0,2.1511627906976742,0.7278888386441357,1.0,2.0,2.0,3.0,4.0,86.0,2.2209302325581395,0.8174733352830347,1.0,2.0,2.0,3.0,5.0,86.0,1349.2674418604652,565.5511923449465,365.0,941.5,1319.0,1608.25,3652.0
4.0,104.0,202692.3076923077,122990.49429865195,30000.0,100000.0,200000.0,300000.0,700000.0,104.0,2.1153846153846154,0.7920440841375727,0.0,2.0,2.0,3.0,5.0,104.0,2.1826923076923075,0.7976229622090669,1.0,2.0,2.0,3.0,4.0,104.0,1259.2788461538462,556.607903629765,0.0,829.0,1225.0,1554.75,2843.0
5.0,5.0,240000.0,134164.07864998738,100000.0,100000.0,300000.0,300000.0,400000.0,5.0,1.8,0.8366600265340756,1.0,1.0,2.0,2.0,3.0,5.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,5.0,1278.6,600.0527476814018,641.0,765.0,1421.0,1436.0,2130.0
6.0,1.0,90000.0,,90000.0,90000.0,90000.0,90000.0,90000.0,1.0,2.0,,2.0,2.0,2.0,2.0,2.0,1.0,2.0,,2.0,2.0,2.0,2.0,2.0,1.0,1060.0,,1060.0,1060.0,1060.0,1060.0,1060.0
8.0,6.0,183333.33333333334,116904.5194450012,100000.0,100000.0,150000.0,200000.0,400000.0,6.0,2.1666666666666665,0.40824829046386296,2.0,2.0,2.0,2.0,3.0,6.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,6.0,1493.5,449.5943727405849,1018.0,1157.5,1479.5,1635.75,2246.0
9.0,46.0,190434.78260869565,172033.026825783,60000.0,100000.0,100000.0,275000.0,1000000.0,46.0,2.0652173913043477,0.800060384194523,0.0,2.0,2.0,2.0,4.0,46.0,2.0217391304347827,0.9064982793336028,1.0,1.0,2.0,3.0,4.0,46.0,1193.4130434782608,651.7103506615653,376.0,793.75,1000.5,1382.5,4021.0
10.0,60.0,194166.66666666666,123662.90520723579,40000.0,100000.0,200000.0,200000.0,600000.0,60.0,2.1,0.896320160717405,0.0,1.0,2.0,3.0,4.0,60.0,2.05,0.9283665260982114,1.0,1.0,2.0,3.0,4.0,60.0,1276.4166666666667,568.1735319683402,351.0,862.5,1198.0,1605.25,3084.0
11.0,35.0,262571.4285714286,318944.4249685004,50000.0,100000.0,200000.0,300000.0,2000000.0,35.0,2.3714285714285714,0.7310634592924237,1.0,2.0,2.0,3.0,4.0,35.0,2.4,0.7356469741582815,1.0,2.0,2.0,3.0,4.0,35.0,1497.6857142857143,611.295431196472,638.0,1017.0,1503.0,1846.0,3498.0
12.0,2.0,250000.0,70710.67811865476,200000.0,225000.0,250000.0,275000.0,300000.0,2.0,2.5,0.7071067811865476,2.0,2.25,2.5,2.75,3.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,1439.0,15.556349186104045,1428.0,1433.5,1439.0,1444.5,1450.0
13.0,4.0,225000.0,95742.71077563381,100000.0,175000.0,250000.0,300000.0,300000.0,4.0,1.75,0.5,1.0,1.75,2.0,2.0,2.0,4.0,2.25,0.5,2.0,2.0,2.0,2.25,3.0,4.0,1091.75,214.22787711531228,820.0,1029.25,1101.5,1164.0,1344.0
14.0,1.0,300000.0,,300000.0,300000.0,300000.0,300000.0,300000.0,1.0,2.0,,2.0,2.0,2.0,2.0,2.0,1.0,2.0,,2.0,2.0,2.0,2.0,2.0,1.0,1767.0,,1767.0,1767.0,1767.0,1767.0,1767.0
18.0,39.0,190000.0,134046.33919891875,30000.0,100000.0,100000.0,300000.0,700000.0,39.0,2.051282051282051,0.8568214807837882,0.0,1.5,2.0,3.0,4.0,39.0,1.8974358974358974,0.8206182455888074,1.0,1.0,2.0,3.0,3.0,39.0,1202.179487179487,597.2047992102291,369.0,772.0,1004.0,1485.5,3295.0
19.0,1.0,300000.0,,300000.0,300000.0,300000.0,300000.0,300000.0,1.0,3.0,,3.0,3.0,3.0,3.0,3.0,1.0,3.0,,3.0,3.0,3.0,3.0,3.0,1.0,2377.0,,2377.0,2377.0,2377.0,2377.0,2377.0
20.0,2.0,1150000.0,1202081.5280171307,300000.0,725000.0,1150000.0,1575000.0,2000000.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,2.0,1678.5,388.2016228714146,1404.0,1541.25,1678.5,1815.75,1953.0
21.0,7.0,171428.57142857142,134960.31162636558,50000.0,75000.0,100000.0,250000.0,400000.0,7.0,2.0,0.816496580927726,1.0,1.5,2.0,2.5,3.0,7.0,1.7142857142857142,0.48795003647426666,1.0,1.5,2.0,2.0,2.0,7.0,1051.7142857142858,443.4590226412185,565.0,729.5,802.0,1467.0,1602.0
22.0,29.0,183103.44827586206,149190.75632692198,40000.0,100000.0,100000.0,200000.0,700000.0,29.0,2.0,1.1019463300386794,1.0,1.0,2.0,2.0,5.0,29.0,2.0,0.8017837257372732,1.0,2.0,2.0,2.0,4.0,29.0,1289.4827586206898,776.3951323120415,387.0,913.0,1108.0,1481.0,4099.0
24.0,2.0,195000.0,148492.42404917497,90000.0,142500.0,195000.0,247500.0,300000.0,2.0,2.0,1.4142135623730951,1.0,1.5,2.0,2.5,3.0,2.0,2.0,1.4142135623730951,1.0,1.5,2.0,2.5,3.0,2.0,1499.0,1111.5718600252528,713.0,1106.0,1499.0,1892.0,2285.0
25.0,3.0,90000.0,17320.508075688773,70000.0,85000.0,100000.0,100000.0,100000.0,3.0,1.6666666666666667,0.5773502691896257,1.0,1.5,2.0,2.0,2.0,3.0,2.0,1.0,1.0,1.5,2.0,2.5,3.0,3.0,810.0,383.76685630731583,367.0,694.5,1022.0,1031.5,1041.0
26.0,1.0,100000.0,,100000.0,100000.0,100000.0,100000.0,100000.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,545.0,,545.0,545.0,545.0,545.0,545.0
28.0,11.0,250909.0909090909,167657.65985808973,60000.0,100000.0,200000.0,400000.0,500000.0,11.0,2.1818181818181817,0.7507571935295483,1.0,2.0,2.0,3.0,3.0,11.0,2.090909090909091,0.8312094145936334,1.0,1.5,2.0,3.0,3.0,11.0,1400.8181818181818,579.9347925727199,630.0,1090.0,1316.0,1724.5,2524.0
29.0,3.0,146666.66666666666,133166.56236958786,60000.0,70000.0,80000.0,190000.0,300000.0,3.0,2.0,1.0,1.0,1.5,2.0,2.5,3.0,3.0,2.0,1.0,1.0,1.5,2.0,2.5,3.0,3.0,1410.0,711.2151573187962,591.0,1179.0,1767.0,1819.5,1872.0
